dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adolescent,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7619047619047619,0.7836538461538461,0.782608695652174,0.9,0.6923076923076923,0.5516187241049897,0.5291479820627802,6.948096727226822,0.95,0.9904000000000001,0.9514563106796117,0.9245283018867925,0.98,0.9016243871634686,0.9,0.11499374431591887
adolescent,QuantileTransformer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9523809523809523,0.9903846153846154,0.9629629629629629,0.9285714285714286,1.0,0.9013878188659973,0.896551724137931,0.22106718288996494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adolescent,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.08558133088004685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027575738613861714
adolescent,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.9047619047619048,0.9807692307692307,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7980769230769231,0.7980769230769231,0.19415011408420246,0.89,0.9284,0.8842105263157894,0.9333333333333333,0.84,0.7839294959021854,0.78,0.729769443014513
adolescent,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.08272207456999205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0071608079287522435
adolescent,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.4186517149541956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4357659419518288
adolescent,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30941636396543687,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.30355165761355535
adolescent,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 25.041499136197736, 'gamma': 0.002061045404501547, 'kernel': 'poly'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04588431108027234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009783525958601783
adolescent,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8095238095238095,0.8557692307692308,0.8181818181818182,1.0,0.6923076923076923,0.6793662204867574,0.631578947368421,3.6271061343075166,0.91,0.9763999999999999,0.9072164948453608,0.9361702127659575,0.88,0.8214799971933825,0.8200000000000001,0.18401842200454208
adolescent,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9523809523809523,0.9711538461538461,0.9629629629629629,0.9285714285714286,1.0,0.9013878188659973,0.896551724137931,0.2862813004740032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adolescent,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.09360482038535438,0.99,0.9995999999999999,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.03581242545821813
adolescent,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.9047619047619048,0.9807692307692307,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7980769230769231,0.7980769230769231,0.17374527162668382,0.91,0.9291999999999999,0.9052631578947369,0.9555555555555556,0.86,0.8241310085125538,0.8200000000000001,0.6942784314205335
adolescent,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.5041499136197736, 'penalty': 'l1', 'solver': 'saga'})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.05754235807747083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03132934888863177
adolescent,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9523809523809523,1.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.4163072012940815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4363392496596564
adolescent,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 386})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3256656736020058,0.99,0.9995999999999999,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.3132350070560005
adolescent,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 32.52108800594495, 'gamma': 0.044662788252242826, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1450499859303139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006702635308108996
adolescent,Normalizer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7619047619047619,0.7836538461538461,0.782608695652174,0.9,0.6923076923076923,0.5516187241049897,0.5291479820627802,6.999429727296602,0.95,0.9938,0.9504950495049505,0.9411764705882353,0.96,0.9001800540180064,0.9,0.08386987635761313
adolescent,Normalizer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09902589890496441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adolescent,Normalizer,LDA,GridSearch,{'solver': 'svd'},1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025937803064877515,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.9801960588196069,0.98,0.03941905029602379
adolescent,Normalizer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.8095238095238095,0.9711538461538461,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.6264144833056663,0.6146788990825689,0.24521443130042034,0.88,0.9196,0.8723404255319149,0.9318181818181818,0.82,0.7655318158241113,0.76,0.7767092240790648
adolescent,Normalizer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 3.2521088005944945, 'penalty': 'l2', 'solver': 'liblinear'})",0.9047619047619048,1.0,0.9166666666666666,1.0,0.8461538461538461,0.8227533512074423,0.8073394495412844,0.5607646970306389,0.94,0.9783999999999999,0.9411764705882353,0.9230769230769231,0.96,0.8807048459279792,0.88,0.6025004179921192
adolescent,Normalizer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.9047619047619048,1.0,0.9166666666666666,1.0,0.8461538461538461,0.8227533512074423,0.8073394495412844,0.4444572964135011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4437452278901133
adolescent,Normalizer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30327670330265205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25507991659049245
adolescent,Normalizer,SVM,BayesianOptimization,"OrderedDict({'C': 27.364528220782454, 'gamma': 0.00032780432870046914, 'kernel': 'poly'})",0.9523809523809523,0.0,0.96,1.0,0.9230769230769231,0.9058216273156766,0.9014084507042254,0.6876361284957621,0.93,0.028800000000000003,0.9333333333333333,0.8909090909090909,0.98,0.8643325211229224,0.86,0.6934447373376842
