dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adolescent,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.42857142857142855,0.4951923076923077,0.5,0.5454545454545454,0.46153846153846156,-0.1589409883014377,-0.15596330275229353,10.653173346860328,0.9,0.9742,0.8958333333333334,0.9347826086956522,0.86,0.8025723539051279,0.8,0.18205276764732348
adolescent,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6666666666666666,0.701923076923077,0.7407407407407407,0.7142857142857143,0.7692307692307693,0.2773500981126146,0.27586206896551724,3.823052688680749,0.97,0.9982,0.9690721649484536,1.0,0.94,0.9416965821485117,0.94,0.04158883083359692
adolescent,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.5714285714285714,0.4903846153846154,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.8766335757474243,0.74,0.827,0.7346938775510204,0.75,0.72,0.48038446141526137,0.48,0.5052313812408059
adolescent,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.7142857142857143,0.625,0.7857142857142857,0.7333333333333333,0.8461538461538461,0.3721042037676254,0.36363636363636365,1.7960777252986493,0.67,0.7173999999999999,0.6732673267326733,0.6666666666666666,0.68,0.3400680204068024,0.33999999999999997,1.2686362463994825
adolescent,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.5714285714285714,0.4807692307692308,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.9045694715807112,0.72,0.8334,0.7142857142857143,0.7291666666666666,0.7,0.4403524229639896,0.43999999999999995,0.5008964554831826
adolescent,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.6666666666666666,0.6346153846153847,0.7586206896551724,0.6875,0.8461538461538461,0.25215418055077093,0.23834196891191706,0.6613758751175246,0.8,0.9057999999999999,0.8,0.8,0.8,0.6,0.6,0.6142285683199187
adolescent,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.6190476190476191,0.625,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.15504341823651058,0.1515151515151515,0.6427790921050909,0.86,0.9386,0.8627450980392157,0.8461538461538461,0.88,0.7205766921228921,0.72,0.4928994717932183
adolescent,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 2.1602177830877722, 'gamma': 0.057038430274030945, 'kernel': 'rbf'})",0.47619047619047616,0.5384615384615384,0.6451612903225806,0.5555555555555556,0.7692307692307693,-0.3202563076101743,-0.2622950819672132,0.7957964981695506,0.95,0.995,0.9473684210526315,1.0,0.9,0.9045340337332908,0.9,0.2051889761335578
adolescent,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5238095238095238,0.5096153846153846,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.03739787960033829,0.03669724770642202,8.986588317576146,0.91,0.9717999999999999,0.9090909090909091,0.9183673469387755,0.9,0.8201640492164058,0.8200000000000001,0.19477342524720428
adolescent,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.7142857142857143,0.6682692307692308,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.3942307692307692,0.3942307692307693,3.8938763065272815,0.97,0.9982,0.9690721649484536,1.0,0.94,0.9416965821485117,0.94,0.04158883083359692
adolescent,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.5714285714285714,0.5,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.7992942847662028,0.73,0.8194,0.7216494845360825,0.7446808510638298,0.7,0.4608302423279951,0.45999999999999996,0.5301358937208841
adolescent,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-08},0.7619047619047619,0.6346153846153846,0.8148148148148148,0.7857142857142857,0.8461538461538461,0.4853626716970755,0.48275862068965514,1.6011022469822211,0.66,0.7173999999999999,0.6730769230769231,0.6481481481481481,0.7,0.3210289415620512,0.31999999999999995,1.2843274472348594
adolescent,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.5041499136197736, 'penalty': 'l1', 'solver': 'saga'})",0.5238095238095238,0.48076923076923084,0.6666666666666666,0.5882352941176471,0.7692307692307693,-0.13080416089248587,-0.11702127659574457,0.7860298828595146,0.7,0.8174,0.6875,0.717391304347826,0.66,0.40128617695256397,0.4,0.528162951533619
adolescent,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.6190476190476191,0.5817307692307693,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.15504341823651058,0.1515151515151515,0.6545611564752853,0.78,0.8886000000000001,0.78,0.78,0.78,0.56,0.56,0.5960976712989162
