dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
adolescent,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.42857142857142855,0.4951923076923077,0.5,0.5454545454545454,0.46153846153846156,-0.1589409883014377,-0.15596330275229353,10.653173346860328
adolescent,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6666666666666666,0.701923076923077,0.7407407407407407,0.7142857142857143,0.7692307692307693,0.2773500981126146,0.27586206896551724,3.823052688680749
adolescent,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.5714285714285714,0.4903846153846154,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.8766335757474243
adolescent,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.7142857142857143,0.625,0.7857142857142857,0.7333333333333333,0.8461538461538461,0.3721042037676254,0.36363636363636365,1.7960777252986493
adolescent,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.5714285714285714,0.4807692307692308,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.9045694715807112
adolescent,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.6666666666666666,0.6346153846153847,0.7586206896551724,0.6875,0.8461538461538461,0.25215418055077093,0.23834196891191706,0.6613758751175246
adolescent,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.6190476190476191,0.625,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.15504341823651058,0.1515151515151515,0.6427790921050909
adolescent,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 1.6994636371262763, 'gamma': 0.015246748254295629})",0.5238095238095238,0.5576923076923077,0.6428571428571429,0.6,0.6923076923076923,-0.062017367294604234,-0.06060606060606055,0.9435019220851719
adolescent,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5238095238095238,0.5096153846153846,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.03739787960033829,0.03669724770642202,8.986588317576146
adolescent,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.7142857142857143,0.6682692307692308,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.3942307692307692,0.3942307692307693,3.8938763065272815
