dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adult,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8581560283687943,0.9027848748083802,0.7058823529411765,0.8,0.631578947368421,0.6215704008002548,0.6141215106732348,1.25332930150449,0.9672330097087378,0.9959704024884531,0.967032967032967,0.972972972972973,0.9611650485436893,0.9345348413827317,0.9344660194174758,0.07754249453622217
adult,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.950354609929078,0.9862033725089423,0.9090909090909091,0.8974358974358975,0.9210526315789473,0.8750921303883024,0.8749524895477006,0.3697541889933689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,QuantileTransformer,LDA,GridSearch,{'solver': 'lsqr'},0.9219858156028369,0.9844149207971385,0.8571428571428571,0.8461538461538461,0.868421052631579,0.8036250059256608,0.8034967692892436,0.14813829724967023,0.9745145631067961,0.997743661042511,0.9747292418772563,0.9665871121718377,0.9830097087378641,0.949166133994423,0.9490291262135923,0.06525678089068777
adult,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.9078014184397163,0.932805314256515,0.8169014084507042,0.8787878787878788,0.7631578947368421,0.7590559779156697,0.7556977209116353,1.0432350139367605,0.9441747572815534,0.9731301253652559,0.9439024390243902,0.9485294117647058,0.9393203883495146,0.8883913852540811,0.8883495145631068,0.6063704857833785
adult,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018734069306615416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007710251599597746
adult,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4246224930937103,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.3930501507348376
adult,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100})",0.9716312056737588,0.9928461931527849,0.9459459459459459,0.9722222222222222,0.9210526315789473,0.9273566674116498,0.926734216679657,0.18640296714114526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04531448983167542
adult,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 94.53233875579238, 'gamma': 0.0001255655694051287, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01741092522432035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009690576547040338
adult,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8865248226950354,0.9382984159427696,0.7647058823529411,0.8666666666666667,0.6842105263157895,0.6996821891361158,0.6912972085385878,0.7424655057715971,0.9648058252427184,0.9950395890281836,0.9640644361833953,0.9848101265822785,0.9441747572815534,0.9304040240294154,0.9296116504854369,0.08174006241969371
adult,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9361702127659575,0.9816044966785896,0.8860759493670886,0.8536585365853658,0.9210526315789473,0.8430022264010416,0.8418297394989406,0.1770806435166123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
adult,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.9361702127659575,0.9874808380173736,0.8860759493670886,0.8536585365853658,0.9210526315789473,0.8430022264010416,0.8418297394989406,0.13401710889368795,0.9684466019417476,0.998008766141955,0.9691943127962085,0.9467592592592593,0.9927184466019418,0.9379990483276853,0.9368932038834952,0.07295268614503925
adult,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-06},0.8936170212765957,0.9169647419519674,0.7945205479452054,0.8285714285714286,0.7631578947368421,0.7240262882185549,0.7229136643521551,1.384322799768943,0.9453883495145631,0.9699017343764729,0.945321992709599,0.9464720194647201,0.9441747572815534,0.8907793229234462,0.8907766990291263,0.6682540247464347
