dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adult,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6737588652482269,0.7045222278998466,0.4523809523809524,0.41304347826086957,0.5,0.22511195094909944,0.2230474365117393,0.6247324670422391,0.7742718446601942,0.8299144594212461,0.7759036144578313,0.7703349282296651,0.7815533980582524,0.5486018672662366,0.5485436893203883,0.4898531333048862
adult,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.7092198581560284,0.6373275421563618,0.4225352112676056,0.45454545454545453,0.39473684210526316,0.23052811181142563,0.2295081967213114,4.668019566542437,0.9745145631067961,0.9985360307286266,0.974169741697417,0.9875311720698254,0.9611650485436893,0.9493675592466229,0.9490291262135923,0.04372899065345651
adult,QuantileTransformer,LDA,GridSearch,{'solver': 'lsqr'},0.7092198581560284,0.7082268778742974,0.2807017543859649,0.42105263157894735,0.21052631578947367,0.13479038292624104,0.12316092825724256,0.5528036969765824,0.6674757281553398,0.7866699264775192,0.5861027190332326,0.776,0.470873786407767,0.36429493737043367,0.3349514563106796,0.6077560372084294
adult,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.6099290780141844,0.6709248850281042,0.4954128440366973,0.38028169014084506,0.7105263157894737,0.2514449635550125,0.22240048129950873,3.122641710123865,0.6735436893203883,0.7481619379771892,0.723535457348407,0.6274509803921569,0.8543689320388349,0.3722860239390787,0.34708737864077666,2.0147698998523116
adult,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.6950354609929078,0.7110373019928462,0.5274725274725275,0.4528301886792453,0.631578947368421,0.3206497352125533,0.31125752584346233,0.5922688609978701,0.7548543689320388,0.7893739984918465,0.7750556792873051,0.7160493827160493,0.8446601941747572,0.5181348569650488,0.5097087378640777,0.5528857772931521
adult,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.6808510638297872,0.6859989780275932,0.4827586206896552,0.42857142857142855,0.5526315789473685,0.26163469104726267,0.25728666744703277,0.6262300285512765,0.7936893203883495,0.8673031152794797,0.806378132118451,0.759656652360515,0.8592233009708737,0.5924898220432402,0.587378640776699,0.6065982073968537
adult,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.7163120567375887,0.7166581502299436,0.5348837209302325,0.4791666666666667,0.6052631578947368,0.33947663747815676,0.3347487615003538,0.5488078661724501,0.8252427184466019,0.9369550617400321,0.8363636363636363,0.7863247863247863,0.8932038834951457,0.6565788191089379,0.6504854368932038,0.3877405116526518
adult,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 2.1602177830877722, 'gamma': 0.057038430274030945, 'kernel': 'rbf'})",0.6950354609929078,0.6941747572815535,0.45569620253164556,0.43902439024390244,0.47368421052631576,0.24463789809683767,0.24429764427271594,0.5875880576419236,0.8252427184466019,0.9082058865114525,0.8378378378378378,0.7815126050420168,0.9029126213592233,0.6584786460517114,0.6504854368932038,0.4272308262144869
adult,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.723404255319149,0.684849259070005,0.4657534246575342,0.4857142857142857,0.4473684210526316,0.28000581715447553,0.2795755273156033,3.424994129506315,0.8410194174757282,0.930851753228391,0.841978287092883,0.8369304556354916,0.8470873786407767,0.6820890660481757,0.6820388349514563,0.31624418723865966
adult,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6950354609929078,0.6414154317833418,0.39436619718309857,0.42424242424242425,0.3684210526315789,0.19277612137540817,0.19192323070771689,4.674418749496886,0.9745145631067961,0.9985360307286266,0.974169741697417,0.9875311720698254,0.9611650485436893,0.9493675592466229,0.9490291262135923,0.04372899065345651
