dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
adult,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6737588652482269,0.7045222278998466,0.4523809523809524,0.41304347826086957,0.5,0.22511195094909944,0.2230474365117393,0.6247324670422391
adult,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.7092198581560284,0.6373275421563618,0.4225352112676056,0.45454545454545453,0.39473684210526316,0.23052811181142563,0.2295081967213114,4.668019566542437
adult,QuantileTransformer,LDA,GridSearch,{'solver': 'lsqr'},0.7092198581560284,0.7082268778742974,0.2807017543859649,0.42105263157894735,0.21052631578947367,0.13479038292624104,0.12316092825724256,0.5528036969765824
adult,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.6099290780141844,0.6709248850281042,0.4954128440366973,0.38028169014084506,0.7105263157894737,0.2514449635550125,0.22240048129950873,3.122641710123865
adult,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.6950354609929078,0.7110373019928462,0.5274725274725275,0.4528301886792453,0.631578947368421,0.3206497352125533,0.31125752584346233,0.5922688609978701
adult,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.6808510638297872,0.6859989780275932,0.4827586206896552,0.42857142857142855,0.5526315789473685,0.26163469104726267,0.25728666744703277,0.6262300285512765
adult,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.7163120567375887,0.7166581502299436,0.5348837209302325,0.4791666666666667,0.6052631578947368,0.33947663747815676,0.3347487615003538,0.5488078661724501
adult,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 73.52481813242629, 'gamma': 0.012643413272636262})",0.6879432624113475,0.6530403679100665,0.4358974358974359,0.425,0.4473684210526316,0.2205456519763091,0.22040713747172658,0.5994951716719723
adult,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.723404255319149,0.684849259070005,0.4657534246575342,0.4857142857142857,0.4473684210526316,0.28000581715447553,0.2795755273156033,3.424994129506315
adult,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6950354609929078,0.6414154317833418,0.39436619718309857,0.42424242424242425,0.3684210526315789,0.19277612137540817,0.19192323070771689,4.674418749496886
adult,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.6950354609929078,0.7245784363822177,0.5376344086021505,0.45454545454545453,0.6578947368421053,0.3335115816886746,0.32128064480017904,0.5944537644313264
adult,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.6595744680851063,0.6918753193663771,0.52,0.41935483870967744,0.6842105263157895,0.2991930455786325,0.2790796761823605,3.1868758071125494
adult,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",0.7021276595744681,0.7184466019417474,0.5333333333333333,0.46153846153846156,0.631578947368421,0.3308229035375921,0.3222705424582284,0.5819325899200104
adult,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.6950354609929078,0.7118037812979048,0.45569620253164556,0.43902439024390244,0.47368421052631576,0.24463789809683767,0.24429764427271594,0.6320988218581576
