dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
child,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7966101694915254,0.8870967741935484,0.7931034482758621,0.7666666666666667,0.8214285714285714,0.5949371027749709,0.5935706084959816,0.9664645708458847
child,QuantileTransformer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.8813559322033898,0.9838709677419354,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.7752157921163766,0.7641347801256425,0.2877993074463452
child,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.9322033898305084,0.9976958525345623,0.9333333333333333,0.875,1.0,0.8729815428710669,0.8649885583524027,0.11694209358115393
child,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.8813559322033898,0.9619815668202765,0.8888888888888888,0.8,1.0,0.7869910029407435,0.7649402390438247,0.5400330474113143
child,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 3.2521088005944945, 'penalty': 'l2', 'solver': 'liblinear'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007142531861204839
child,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",0.9830508474576272,1.0,0.9824561403508771,0.9655172413793104,1.0,0.9666289484158136,0.9660724554341575,0.46752929058981135
child,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 19, 'n_estimators': 368})",0.9152542372881356,0.9873271889400922,0.9152542372881356,0.8709677419354839,0.9642857142857143,0.8352534562211982,0.830945558739255,0.3572210119552929
child,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 100.0, 'gamma': 0.00016188928377473604, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02019190718715311
child,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7966101694915254,0.8870967741935484,0.7931034482758621,0.7666666666666667,0.8214285714285714,0.5949371027749709,0.5935706084959816,0.9664645708458847
child,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.8983050847457628,0.9804147465437788,0.9,0.84375,0.9642857142857143,0.8048520309274254,0.7974828375286042,0.29700546203132755
child,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.9322033898305084,0.9976958525345623,0.9333333333333333,0.875,1.0,0.8729815428710669,0.8649885583524027,0.10979059731851938
