dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
child,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5423728813559322,0.5852534562211982,0.49056603773584906,0.52,0.4642857142857143,0.07800195311412261,0.07759119861030683,1.4639506560011688
child,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.5084745762711864,0.5259216589861752,0.5084745762711864,0.4838709677419355,0.5357142857142857,0.019585253456221197,0.019484240687679066,4.392922580352201
child,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.5084745762711864,0.5264976958525345,0.5084745762711864,0.4838709677419355,0.5357142857142857,0.019585253456221197,0.019484240687679066,0.7361034090015547
child,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-06},0.4745762711864407,0.5685483870967742,0.6352941176470588,0.47368421052631576,0.9642857142857143,-0.009536938157772432,-0.003291278113000562,2.7528200114820405
child,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",0.5084745762711864,0.527073732718894,0.5084745762711864,0.4838709677419355,0.5357142857142857,0.019585253456221197,0.019484240687679066,0.7350662952659769
child,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.5932203389830508,0.5973502304147466,0.5862068965517241,0.5666666666666667,0.6071428571428571,0.18757204594259239,0.1871412169919633,0.677149033247454
child,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 26, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 480})",0.5423728813559322,0.6100230414746545,0.5423728813559322,0.5161290322580645,0.5714285714285714,0.08755760368663594,0.08710601719197708,0.6761954970234737
child,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 73.52481813242629, 'gamma': 0.012643413272636262})",0.5254237288135594,0.5414746543778801,0.5172413793103449,0.5,0.5357142857142857,0.05178369366513287,0.051664753157290466,0.6893978097962276
child,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5254237288135594,0.5754608294930876,0.5625,0.5,0.6428571428571429,0.06369696339435807,0.06136363636363629,1.3427728788196533
child,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.4576271186440678,0.48099078341013823,0.4838709677419355,0.4411764705882353,0.5357142857142857,-0.07800195311412261,-0.07639680729760534,9.021778271192794
child,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.5254237288135594,0.5144009216589862,0.5483870967741935,0.5,0.6071428571428571,0.059374621027167965,0.058152793614595244,0.7367582731612717
child,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.4745762711864407,0.560483870967742,0.6436781609195402,0.4745762711864407,1.0,0.0,0.0,5.344306693387481
child,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",0.5254237288135594,0.5167050691244239,0.5483870967741935,0.5,0.6071428571428571,0.059374621027167965,0.058152793614595244,0.7202726669375177
child,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.559322033898305,0.6025345622119815,0.6176470588235294,0.525,0.75,0.1465143972134886,0.1343115124153499,0.6769071027364242
child,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 26, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 480})",0.5254237288135594,0.6065668202764977,0.6,0.5,0.75,0.08002608682832761,0.07086614173228345,0.6801755222930055
child,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 27.364528220782454, 'gamma': 0.00032780432870046914})",0.5084745762711864,0.5074884792626728,0.5538461538461539,0.4864864864864865,0.6428571428571429,0.030931521483353357,0.029495178672717004,0.6898605632587083
