dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
toddler,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
toddler,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.919431279620853,0.9920969441517388,0.9386281588447654,0.9923664122137404,0.8904109589041096,0.8326712943335142,0.8223817776677396,0.14358050137101594
toddler,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.9146919431279621,0.9973656480505795,0.9343065693430657,1.0,0.8767123287671232,0.8286024041814126,0.8141696839221059,0.17843742558035364
toddler,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.8199052132701422,0.9458377239199156,0.8560606060606061,0.9576271186440678,0.773972602739726,0.6482078174767523,0.6226468373493975,1.3874532540997342
toddler,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008770012651455484
toddler,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.08783376731568662, 'n_estimators': 232})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12692801104297266
toddler,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 226})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08187726747257063
toddler,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 98.11066559178067, 'gamma': 0.00011724187059208616, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010098978891646222
toddler,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16
toddler,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9289099526066351,0.9916754478398313,0.9458483754512635,1.0,0.8972602739726028,0.8538290066534048,0.8432780391185937,0.1453955134958824
toddler,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.9620853080568721,0.9929399367755533,0.9724137931034482,0.9791666666666666,0.9657534246575342,0.9120386064936259,0.9118169470274788,0.09965480796343214
toddler,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.8056872037914692,0.9609589041095891,0.8404669260700389,0.972972972972973,0.7397260273972602,0.6413030159630133,0.6034380013752005,1.9051395593370395
