dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
toddler,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9241706161137441,0.9564805057955742,0.9455782312925171,0.9391891891891891,0.952054794520548,0.8208037157656087,0.8205973004570093,0.6538622506035265
toddler,QuantileTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.933649289099526,0.99304531085353,0.9496402877697842,1.0,0.9041095890410958,0.8624892095283283,0.8531371184249776,0.13743577663068718
toddler,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.9241706161137441,0.9929399367755531,0.9424460431654677,0.9924242424242424,0.8972602739726028,0.8412788105527481,0.832156706771403,0.16961884424091228
toddler,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.8293838862559242,0.939936775553214,0.8646616541353384,0.9583333333333334,0.7876712328767124,0.6625787887289779,0.639760978848525,1.4061630205838107
toddler,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008760602050264136
toddler,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38401836051287414
toddler,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 22, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 391})",0.966824644549763,0.9961011591148577,0.9761092150170648,0.9727891156462585,0.9794520547945206,0.9219051756766329,0.9218477168104132,0.17447648457872672
toddler,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 100.0, 'gamma': 0.0001, 'kernel': 'rbf'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010389856927804862
toddler,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9289099526066351,0.9423603793466808,0.9494949494949495,0.9337748344370861,0.9657534246575342,0.8309510443737834,0.8296096904441453,1.4287604390317639
toddler,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9146919431279621,0.9868282402528978,0.935251798561151,0.9848484848484849,0.8904109589041096,0.820068411577168,0.8111762951178284,0.17542835632203915
toddler,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.919431279620853,0.9920969441517387,0.9386281588447654,0.9923664122137404,0.8904109589041096,0.8326712943335142,0.8223817776677396,0.17433130057198287
toddler,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.46919431279620855,0.9441517386722866,0.3978494623655914,0.925,0.2534246575342466,0.24414239625056117,0.14271203656678522,8.236913809920173
toddler,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008411271491886313
toddler,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3838244741900973
toddler,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 232})",0.95260663507109,0.995995785036881,0.9655172413793104,0.9722222222222222,0.958904109589041,0.8899874840036345,0.8897711837843485,0.18672669525801883
toddler,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 100.0, 'gamma': 0.0007146294580747715, 'kernel': 'sigmoid'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006382079507514537
toddler,Normalizer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9241706161137441,0.971022128556375,0.9440559440559441,0.9642857142857143,0.9246575342465754,0.8283230561980817,0.8265694030617488,0.6318290239832978
toddler,Normalizer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.9241706161137441,0.9834562697576397,0.9428571428571428,0.9850746268656716,0.9041095890410958,0.8375656819031924,0.830793905372895,0.17117311979807823
toddler,Normalizer,LDA,GridSearch,{'solver': 'svd'},0.9146919431279621,0.9906217070600633,0.935251798561151,0.9848484848484849,0.8904109589041096,0.820068411577168,0.8111762951178284,0.1776224152783241
toddler,Normalizer,GaussianNB,GridSearch,{'var_smoothing': 1e-06},0.5687203791469194,0.8826659641728135,0.5727699530516432,0.9104477611940298,0.4178082191780822,0.32282425294589323,0.2434296071555222,5.0706384640234825
toddler,Normalizer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 10.0, 'penalty': 'l1', 'solver': 'saga'})",0.985781990521327,0.9993677555321391,0.9896193771626297,1.0,0.9794520547945206,0.9675954395975915,0.9670706965614109,0.08316989706976449
toddler,Normalizer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.69150679543139, 'n_estimators': 160})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3932179597232172
